Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message,
0,1637,,,,-0.2109375,0.197265625,-0.923828125,23.32725714145235,0.4951670500119763,12.824501037597656,12.0306396484375,6973,0,154.28695065435022,120.28009758117297,77.95869778425852,0.004116782908974653,0.003209390346441556,1.251953125,,
0,1637,,,,0.07421875,0.0546875,-0.982421875,22.210390248632233,0.6298546285475071,12.822858810424805,11.953125,6972,0,153.273234218359,114.51602361255583,74.71364729566015,0.005500144073099375,0.004109358243528623,1.244140625,,
0.025155000001192092,1637,,,,-0.0625,0.203125,-0.88671875,21.751305828766196,0.3944667713112703,12.828998565673828,12.3822021484375,6969,0,158.85125360218808,112.10058100344799,70.5695287014744,0.00351886464619784,0.00248324619646462,1.234375,,
0.049480000004172325,1637,,,,0.07421875,-0.3671875,-1.244140625,21.791503980346803,0.3699989739048724,12.8234281539917,12.052176475524902,6976,0,154.55021913312248,112.42125764219269,72.74092412988308,0.0032911833728322265,0.002394037200207217,1.24609375,,
0.0725700000077486,1637,,,,-0.0234375,0.123046875,-0.931640625,21.93351229236045,0.36491425975635533,12.814001083374023,12.080078125,6963,0,154.79413418099284,112.93676277937956,72.95932974264284,0.003231137946367477,0.0023574165887299053,1.251953125,,
0.09556000000238418,1637,,,,-0.453125,0.10546875,-0.92578125,22.025875919239407,0.3701136667052149,12.824501037597656,12.3529052734375,6955,0,158.41984649654478,113.27474563473427,71.50287551705516,0.0032673979061377313,0.002336283457472529,1.2578125,,
0.12140000000596046,1637,,,,0.0234375,-0.24609375,-1.0546875,22.05739686126494,0.3814300230056739,12.82114315032959,12.030552864074707,6966,0,154.24544044790946,113.62789485609679,73.66693921462806,0.003356834371425548,0.0024728771359338003,1.251953125,,
0.1446149999946356,1637,,,,0.111328125,-0.177734375,-1.064453125,22.059408698539734,0.3610663163048648,12.817998886108398,12.2027587890625,6968,0,156.4149485656526,113.6714523111511,72.67301070232388,0.003176402772760601,0.0023083875269972244,1.236328125,,
0.1675050000101328,1637,,,,-0.390625,0.13671875,-0.91015625,22.132419132599555,0.35520360266069123,12.82349967956543,12.093505859375,6956,0,155.08106851251796,113.8378586707601,73.40538710666108,0.003120258996508402,0.002290438195117411,1.2265625,,
0.19179500000178815,1637,,,,0.037109375,0.2109375,-0.85546875,22.289151452632257,0.3355146719352305,12.816573143005371,12.142857551574707,6966,0,155.62982197485235,114.80935752030858,73.77079538063097,0.0029223634656772766,0.0021558507725430993,1.212890625,,
