Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.021484375,-0.953125,0.04424851109498871,0.03586061557375184,15.053000450134277,0.06591796875,0,0,0.9922632132656872,0,0,0,0,0.09375,,
0,1000,,,,-0.0625,0,-0.9765625,0.002702433858934215,0.017356843785163473,15.05142879486084,0.05859375,0,0,0.8819196559488773,0,0,0,0,0.09375,,
0.02434000000357628,1000,,,,-0.0625,-0.01953125,-0.955078125,0.03874487116691861,0.03574592277340935,15.052000999450684,0.052490234375,0,0,0.7900830602739006,0,0,0,0,0.091796875,,
0.051860000014305116,1000,,,,-0.0625,-0.03515625,-0.943359375,0.019160808793154,0.033413835833112054,15.04900074005127,0.047607421875,0,0,0.716444127028808,0,0,0,0,0.09375,,
0.07446500000357628,1000,,,,-0.0625,-0.0234375,-0.951171875,0.0230948542573567,0.020835858728885666,15.051555633544922,0.0596788190305233,0,0,0.8982590647821809,0,0,0,0,0.09375,,
0.09684000000357627,1000,,,,-0.0625,-0.017578125,-0.95703125,0.02369864053496326,0.02993482088938986,15.04914379119873,0.0599888376891613,0,0,0.9027806442510702,0,0,0,0,0.09375,,
0.12049500001966953,1000,,,,-0.0625,-0.021484375,-0.955078125,0.013640180190222567,0.03050828489110231,15.051429748535156,0.0739397332072258,0,0,1.1128986999939912,0,0,0,0,0.09375,,
0.14398499999940395,1000,,,,-0.0625,-0.033203125,-0.94140625,0.013394345564733802,0.04320095479567119,15.052000999450684,0.067138671875,0,0,1.0105713561642915,0,0,0,0,0.09375,,
0.16681500001251698,1000,,,,-0.0625,-0.009765625,-0.96484375,0.02715617773169626,0.013839597907993781,15.049501419067383,0.05859375,0,0,0.8818067237734795,0,0,0,0,0.09375,,
0.18947000001370906,1000,,,,-0.0625,-0.017578125,-0.955078125,0.050646609517387337,0.017968538720323418,15.05000114440918,0.052490234375,0,0,0.7899780874140561,0,0,0,0,0.09375,,
0.2139750000089407,1000,,,,-0.0625,-0.03515625,-0.94140625,0.031050320181680295,0.016745148850003527,15.052000999450684,0.068359375,0,0,1.028945380821824,0,0,0,0,0.09375,,
0.23674500000476836,1000,,,,-0.0625,-0.01953125,-0.955078125,0.020010464269068447,0.011392818167353996,15.051000595092773,0.059814453125,0,0,0.9002673695795238,0,0,0,0,0.09375,,
0.2602150000035763,1000,,,,-0.0625,-0.021484375,-0.955078125,0.03217807518418307,0.0019497776058223283,15.050286293029785,0.0627790167927742,0,0,0.9448421759261763,0,0,0,0,0.09375,,
0.2996850000023842,1000,,,,-0.0625,-0.01953125,-0.958984375,0.009730381212989952,-0.0061934112184944545,15.052000999450684,0.0537109375,0,0,0.8084570849314332,0,0,0,0,0.09375,,
0.32296500000357625,1000,,,,-0.0625,-0.017578125,-0.95703125,0.034845154542766286,0.005683028256970374,15.052287101745605,0.0606863833963871,0,0,0.9134688660490262,0,0,0,0,0.09375,,
0.3483400000184774,1000,,,,-0.0625,-0.0234375,-0.955078125,0.01363018426919008,-0.0003440784010274697,15.05142879486084,0.0530133917927742,0,0,0.7979272917430009,0,0,0,0,0.09375,,
