Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message
18.06354500000179,1552,,,,-0.640625,-0.236328125,-0.8984375,29.438085282917623,37.090810550225385,12.805500030517578,12.8314209,5355,0,164.3127607065253,116.56993672264218,70.94393412989068,0.31818504490121235,0.22573298866587913,0.931640625,
18.086064999997618,1553,,,,0.21875,-0.015625,-0.8671875,29.65476662448426,37.12980610234183,12.788500785827637,13.09448242,5356,0,167.4587987421546,117.4477546354491,70.13531418930681,0.3161389182585105,0.22172502359528212,0.923828125,
18.109515000000595,1553,,,,-0.3125,0.357421875,-0.8671875,29.838925364700945,37.1929636,12.802857398986816,13.783482551574707,5363,0,176.46796156923392,118.33577278360728,67.05793603060374,0.3143002553624202,0.21076326418495592,0.91796875,
18.135115000009538,1554,,,,-0.44921875,-0.03515625,-0.998046875,30.059173599333477,37.25635049205305,12.794501304626465,13.64135742,5370,0,174.5343653310556,119.37478844922983,68.39615122374354,0.3120956357371741,0.21346140298150143,0.9140625,
18.15953000000119,1555,,,,-0.048828125,0.205078125,-0.923828125,30.147700540140924,37.39619924660399,12.795500755310059,13.81713867,5383,0,176.79720831220038,120.01610258469759,67.88348285045605,0.3115931815917185,0.2115203039890046,0.908203125,
18.184015000000596,1556,,,,0.111328125,0.353515625,-1.126953125,30.216580294733703,37.46845571081976,12.786499977111816,13.81103516,5390,0,176.59480070928112,120.42997873320226,68.19565369393852,0.31112233104206133,0.21217190744195316,0.900390625,
18.210090000003575,1557,,,,-0.19921875,0.111328125,-1.064453125,30.521972620039996,37.595267717065106,12.791428565979004,13.605607986450195,5406,0,174.0351626553911,122.01915348777054,70.1117818,0.3081095601997691,0.21602110253723783,0.90234375,
18.234390000000595,1558,,,,-0.798828125,0.3125,-1.0703125,30.50979076846398,37.74982295593996,12.78933334350586,13.69737434387207,5411,0,175.18028641456476,122.0775752036584,69.68682247428308,0.30922815179579916,0.21549127318244518,0.912109375,
18.257069999992847,1558,,,,0.82421875,-0.267578125,-1.251953125,30.905106205960372,37.943933830106275,12.796571731567383,13.702567100524902,5412,0,175.3458828084822,123.69590467853433,70.54394588416915,0.30675173869916245,0.2163947805466851,0.921875,
18.281145000010728,1559,,,,1.953125,-0.17578125,-1.123046875,30.705913870091294,38.06432303953244,12.794500350952148,13.6730957,5424,0,174.94042777223513,123.16425134600743,70.40353845845281,0.30905333831484666,0.21758448589762536,0.94921875,
