Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message,
0,1280,,,,0.78125,0.236328125,-0.779296875,5.266260667838113,0.41281761936606864,15.000572204589844,2.3158481121063232,4603,0,34.73904682051398,17.92495778682905,51.59887627153912,0.023030325888376703,0.011883389360075736,1.326171875,,
0,1280,,,,-0.88671875,-0.083984375,-1.201171875,5.2217194033010434,0.42172542685933534,14.99714469909668,2.3960659503936768,4592,0,35.93414776663258,17.733090893989502,49.34885616086864,0.023781834164188265,0.011736063134101584,1.32421875,,
0.02442000000178814,1280,,,,0.912109375,-0.1328125,-0.978515625,5.44631358119314,0.39580485398193266,15.00400161743164,2.2723388671875,4602,0,34.09417603863403,18.53407768798197,54.36141840465645,0.0213555193112514,0.011609163205276581,1.326171875,,
0.04738499999046326,1280,,,,-0.912109375,0.1015625,-0.818359375,5.601755046979793,0.3610147045447107,15.001999855041504,2.2845458984375,4604,0,34.27275723719504,19.069882377404152,55.641517971329925,0.018931144796806715,0.010533576334293698,1.330078125,,
0.07054999999701977,1280,,,,0.546875,-0.203125,-1.0625,5.280838304898271,0.40991206842405886,15.00100040435791,2.259521484375,4601,0,33.89508270076476,17.96633995635108,53.005741614389734,0.022815557838710237,0.01209355563586839,1.328125,,
0.09450499999523163,1280,,,,-0.486328125,0.162109375,-0.80078125,5.313185953487542,0.3851001926166336,15.002856254577637,2.2802734375,4596,0,34.21061460394412,18.05925252459007,52.78844806988071,0.021324259799361492,0.01125674581047239,1.32421875,,
0.11823000000417233,1280,,,,0.099609375,-0.150390625,-1.251953125,5.301765173962091,0.3736691435158321,15.000499725341797,2.2857666015625,4602,0,34.287641278933734,18.041663304592554,52.618560599784736,0.020711457541761884,0.010898070837710662,1.328125,,
0.14081999999284744,1280,,,,0.078125,0.505859375,-0.802734375,5.296788044955199,0.3906436779665206,15.00342845916748,2.2788784503936768,4596,0,34.19098979761998,18.002947288719334,52.65406879204332,0.021698873617838028,0.011425339841834973,1.328125,,
0.165684999987483,1280,,,,-0.412109375,-0.24609375,-1.20703125,5.280038467687698,0.38330333874460126,15,2.2816684246063232,4597,0,34.22502636909485,17.949458225341537,52.44541824969892,0.021354590981662223,0.01119950455584524,1.326171875,,
0.18879999999701977,1280,,,,0.662109375,-0.12890625,-0.82421875,5.2844892125404135,0.37688054192542175,15.000500679016113,2.2900390625,4602,0,34.35173251200467,17.98337910786575,52.35071943338293,0.02095715936726141,0.010971223701561946,1.328125,,
0.2120549999922514,1280,,,,-1.125,-0.349609375,-1.087890625,5.276563884194738,0.4009660299973447,15.000500679016113,2.2900390625,4592,0,34.35173251200467,17.91728743662425,52.15832252525492,0.02237872397904053,0.011672367030024519,1.330078125,,
0.23528999999165534,1280,,,,0.673828125,0.22265625,-0.833984375,5.32641042601609,0.3884262838265658,15.00057315826416,2.2677175998687744,4600,0,34.01706375911476,18.117105283968137,53.258874464477316,0.021439754184697762,0.011418571766720701,1.328125,,
0.25792000000178816,1280,,,,-1.015625,0.111328125,-1.154296875,5.364094406742071,0.36510541442359284,15.002500534057617,2.2802734375,4599,0,34.20980346389115,18.24130006427419,53.32184992973753,0.020015317610977537,0.010672537619485768,1.322265625,,
0.2818249999880791,1280,,,,1.0625,0.0078125,-0.951171875,5.333004298788902,0.3733250651148046,15.001143455505371,2.2719027996063232,4594,0,34.08113981385873,18.117067115844737,53.158630300497244,0.020606263846552942,0.010954007616934103,1.32421875,,
0.3060349999964237,1280,,,,-1.224609375,-0.05859375,-0.99609375,5.2173561486869735,0.3655641856249628,15.000500679016113,2.2772216796875,4599,0,34.15946535242256,17.743960567808443,51.944491474747444,0.020602175271296472,0.010701695177411121,1.330078125,,
0.33275,1280,,,,0.736328125,-0.06640625,-1.03515625,5.231997186170572,0.3548212933262162,15.001999855041504,2.2589111328125,4592,0,33.888184487004764,17.7663261056249,52.42631428791301,0.01997156256260985,0.01047035415728101,1.328125,,
0.35542000000178814,1280,,,,-0.923828125,-0.052734375,-0.8046875,5.2545467361890825,0.34537825276468453,15.00100040435791,2.2808837890625,4597,0,34.215538642019965,17.860877886192327,52.20107177929228,0.0193371375676716,0.010094193061760744,1.3203125,,
0.3782349999845028,1280,,,,0.69921875,-0.197265625,-1.16015625,5.238334069113347,0.3652583381573828,14.999428749084473,2.2970144748687744,4592,0,34.45390495140987,17.78625069369796,51.62332315823649,0.020535994035370337,0.010601362564635399,1.322265625,,
0.40028000000119207,1280,,,,-0.8125,0.45703125,-0.80859375,5.389359816105855,0.3461428714336345,15.002285957336426,2.266322612762451,4603,0,34.00001990824012,18.34296217691125,53.94985716601218,0.018870609233950952,0.010180666728072845,1.326171875,,
0.4286850000023842,1280,,,,0.859375,-0.103515625,-1.111328125,5.2860651821154265,0.31724028574732704,15.001999855041504,2.2723388671875,4593,0,34.08962735615205,17.952300869624672,52.66206251557888,0.01767128837975851,0.009306064933856653,1.326171875,,
0.4540549999922514,1280,,,,-0.205078125,0.08203125,-0.966796875,5.277745195521006,0.38745712966367174,15.001778602600098,2.286241292953491,4599,0,34.297685709010466,17.949734793705332,52.335119477142136,0.021585674335397223,0.011296888453376943,1.322265625,,
0.47638999998569487,1280,,,,-0.140625,-0.556640625,-1.20703125,5.208260297448649,0.32182799776102666,15.000999450683594,2.288818359375,4592,0,34.3345629516989,17.685878085896178,51.51042146881636,0.018196891112670983,0.00937329530635841,1.330078125,,
0.5007749999910593,1280,,,,-0.236328125,0.228515625,-0.70703125,5.29445619305988,0.29621327235120387,14.999428749084473,2.2837612628936768,4601,0,34.25511434269288,18.01458920137246,52.589487867861216,0.016442965700746402,0.00864727145231061,1.333984375,,
0.5236449999809265,1280,,,,0.015625,-0.041015625,-1.263671875,5.286908831256933,0.3349794388669655,15.00200080871582,2.2528076171875,4592,0,33.796621694928035,17.951509724876793,53.11628448227662,0.018660237718210335,0.009911624951473684,1.326171875,,
0.5512599999904633,1280,,,,-0.111328125,0.109375,-0.720703125,5.224380152551498,0.3456458692988171,15.001143455505371,2.2823660373687744,4601,0,34.23810034454232,17.77599612047617,51.91875700343792,0.019444528844190487,0.010095357681078656,1.326171875,,
0.5762549999952317,1280,,,,-0.30078125,-0.142578125,-1.17578125,5.318550399598906,0.3534067487886589,15.00133228302002,2.2574870586395264,4592,0,33.865313491269035,18.05955580917731,53.32759082189901,0.019568961303525995,0.010435655612040096,1.330078125,,
0.5996299999952316,1280,,,,0.673828125,0.17578125,-0.876953125,5.321595036388524,0.3916376822361555,15.00100040435791,2.322998046875,4598,0,34.84729464049451,18.094737816004756,51.92580371785205,0.02164373345546642,0.01123868255130057,1.326171875,,
0.6299649999886752,1280,,,,-0.734375,-0.130859375,-1.228515625,5.3225087952685355,0.39622539424985515,15.002856254577637,2.260044574737549,4595,0,33.90712388372549,18.08700048436072,53.34277406242053,0.021906639223704297,0.011685609065770177,1.322265625,,
0.6557399999946356,1280,,,,0.61328125,-0.06640625,-0.84765625,5.3352734627599006,0.353076051214338,15.00036334991455,2.270951747894287,4599,0,34.06510136853785,18.14625263433426,53.26933402609492,0.019457243229728208,0.01036474388831366,1.322265625,,
0.6794950000047684,1280,,,,-1.19921875,-0.16796875,-1.05078125,5.237166399572354,0.36881381496800003,15.001500129699707,2.301025390625,4592,0,34.51883269590326,17.783313513824712,51.51771402726275,0.02073931917588277,0.01068442314423255,1.328125,,
0.7068949999958277,1280,,,,1.01171875,0.181640625,-0.8828125,5.255187307070973,0.4133910833677811,14.998857498168945,2.2921316623687744,4597,0,34.37935617091034,17.86490892124614,51.9640589906169,0.023139837162905928,0.012024398633665128,1.330078125,,
0.7294749999940395,1280,,,,-0.916015625,0.091796875,-0.9609375,5.309167086747975,0.42971569194986214,15.002223014831543,2.256402015686035,4595,0,33.85104625043732,18.039939596469857,53.29211824948188,0.02382024006521347,0.01269431050286402,1.326171875,,
0.7517549999952317,1280,,,,1.296875,-0.109375,-1.181640625,5.309875432609004,0.36648172802770274,15.004570960998535,2.269810199737549,4590,0,34.05752820996031,18.024419106638366,52.923450567287574,0.020332512568614656,0.01076066723833831,1.322265625,,
0.7755349999815225,1280,,,,-1.236328125,-0.1328125,-0.9296875,5.264346021759967,0.35417136745760874,15.00285816192627,2.2802734375,4602,0,34.210618953220546,17.916871656125995,52.37225225484943,0.019767478065095885,0.010352673476674047,1.326171875,,
0.7996699999868869,1280,,,,0.8359375,-0.05859375,-0.943359375,5.267497322406914,0.38230933447496634,15.000999450683594,2.4017333984375,4592,0,36.02840139064938,17.88676413374321,49.64628860381645,0.021373867940358393,0.010611332163468927,1.32421875,,
0.8271149999946356,1280,,,,-1.25,0.1640625,-0.953125,5.336396619395115,0.32920656791639347,15.000000953674316,2.254638671875,4602,0,33.819582228315994,18.15975242545929,53.69596910707768,0.018128362116592422,0.009734199721744639,1.3203125,,
0.8507499999850988,1280,,,,0.71875,-0.134765625,-1.0625,5.4258289318916955,0.28489691605074485,14.999555587768555,2.2688801288604736,4596,0,34.032193614826156,18.44043791793415,54.185275644119976,0.015449574316978116,0.00837139442949776,1.326171875,,
0.8736949999928474,1280,,,,-0.298828125,0.400390625,-0.8046875,5.295173947104015,0.39779286252120244,15.00342845916748,2.2767856121063232,4595,0,34.15959004809906,17.9932192930115,52.67399072317848,0.02210793166266271,0.011645129873077593,1.330078125,,
0.8965499999970198,1280,,,,0.109375,-0.197265625,-1.359375,5.308402851809624,0.3816594086063589,14.996500015258789,2.2747802734375,4596,0,34.11374240531586,18.03970104406362,52.88103788123972,0.021156637112451082,0.011187849285831677,1.326171875,,
0.9196299999952317,1280,,,,-0.8125,-0.046875,-0.60546875,5.26542565942148,0.3506158906469916,15.00342845916748,2.3270089626312256,4596,0,34.913112494679126,17.893909333411294,51.252690049156705,0.019594147042665842,0.010042527451553528,1.32421875,,
0.9427099999934435,1280,,,,0.4609375,-0.2578125,-1.21875,5.240521562129483,0.33054465058705584,15.00342845916748,2.279575824737549,4594,0,34.20145280369752,17.80490627121016,52.05891800387285,0.018564807112831233,0.009664637712445965,1.326171875,,
0.9656550000011921,1280,,,,-0.4375,0.28125,-0.703125,5.263327952162481,0.3248864724368264,15.003430366516113,2.2572543621063232,4594,0,33.86655864137697,17.881535239575822,52.79997719558311,0.018168824325429298,0.009593135100532228,1.33203125,,
0.9914899999946356,1280,,,,0.53125,-0.150390625,-1.255859375,5.261502653919096,0.38230933447496634,14.9975004196167,2.275390625,4597,0,34.1251718532294,17.884228623008653,52.407732039937535,0.021376898189677175,0.01120314752169627,1.330078125,,
1.0145900000035764,1280,,,,-0.1875,0.205078125,-0.841796875,5.300496604888441,0.3532155941214214,15.000500679016113,2.28759765625,4598,0,34.315110195893794,18.0215221547737,52.517745249526214,0.019599653741116344,0.010293296221548716,1.326171875,,
